link,itemId,shopId,review_date,cust_id,cust_name,rating_star,comments,review_product,store,marketplace,Check
https://www.lazada.co.th/products/eggyday-100g-i5219058197.html,5219058197,100247091240,2024-04-10,100216710424,จ***บ,5,"Eggyday เส้นหมี่ไข่ขาว พร้อมทาน 100 กรัม บรรจุภัณฑ์สะดวกใช้, เส้นหมี่คุณภาพดี, อร่อยและหอมหวาน, สัมผัสที่นุ่มนวล, คุ้มค่ากับราคา, ง่ายต่อการทำอาหาร, ง่ายต่อการทำอาหาร, ขนาดส่วนที่เหมาะสม, รสชาติไทยแท้ ",,BeautyParadise,lazada,TRUE
https://www.lazada.co.th/products/eggyday-100g-i5219058197.html,5219058197,100247091240,2024-04-07,12543439,จ***.,5,เป็นสินค้า ใหม่ที่เพิ่งเคยเห็น ดูน่าจะดีต่อสุขภาพ ดูมีโปรตีนสูงคาร์โบไฮเดรตต่ำ สามารถเก็บรักษาไว้ได้นาน,,BeautyParadise,lazada,TRUE
https://www.lazada.co.th/products/eggyday-100g-i5219058197.html,5219058197,100247091240,2024-07-12,100011644710,ใ***.,5,"เวลาเตรียมอาหารสั้น, บรรจุภัณฑ์สะดวกใช้, ขนาดส่วนที่เหมาะสม, ใช้ได้หลากหลายอาหาร, เส้นหมี่คุณภาพดี,  ",,BeautyParadise,lazada,TRUE
https://www.lazada.co.th/products/eggyday-100g-i5219058197.html,5219058197,100247091240,2024-06-06,100120737366,9***9,5,"เวลาเตรียมอาหารสั้น, สัมผัสที่นุ่มนวล, ง่ายต่อการทำอาหาร, ใช้ได้หลากหลายอาหาร, บรรจุภัณฑ์สะดวกใช้, อร่อยและหอมหวาน,  ",,BeautyParadise,lazada,TRUE
https://www.lazada.co.th/products/eggyday-100g-i5219058197.html,5219058197,100247091240,2024-08-24,10582012,ปราณี ธ.,5,"รสชาติไทยแท้, อร่อยและมีรสชาติ, เนื้อสัมผัสที่น่าพอใจ, เวลาเตรียมการที่รวดเร็ว, ง่ายต่อการปรุง, อเนกประสงค์สำหรับอาหารต่างๆ,  ",,BeautyParadise,lazada,TRUE
https://www.lazada.co.th/products/eggyday-100g-i5219058197.html,5219058197,100247091240,2024-07-27,100098810624,N***.,5,"ทานยาวมานาน  แทนเส้นต่างๆ สายตีโต โลว์คาร์บ
ทานยาวมานาน  แทนเส้นต่างๆ สายตีโต โลว์คาร์บ
ทานยาวมานาน  แทนเส้นต่างๆ สายตีโต โลว์คาร์บ
ทานยาวมานาน  แทนเส้นต่างๆ สายตีโต โลว์คาร์บ
 ",,BeautyParadise,lazada,TRUE
https://www.lazada.co.th/products/eggyday-100g-i5219058197.html,5219058197,100247091240,2024-09-02,110166900185,W***a,5,"เนื้อสัมผัสที่น่าพอใจ, อร่อยและมีรสชาติ, บรรจุภัณฑ์ที่สะดวก, รสชาติไทยแท้, ง่ายต่อการปรุง,  ",,BeautyParadise,lazada,TRUE
https://www.lazada.co.th/products/eggyday-100g-i5219058197.html,5219058197,100247091240,2024-06-09,5011279,M***.,5,"ใช้ได้หลากหลายอาหาร, คุ้มค่ากับราคา, สัมผัสที่นุ่มนวล, เส้นหมี่คุณภาพดี, อร่อยและหอมหวาน,  ",,BeautyParadise,lazada,TRUE
https://www.lazada.co.th/products/eggyday-100g-i5219058197.html,5219058197,100247091240,2024-04-25,100137129935,****4,5,"ใช้ได้หลากหลายอาหาร, คุ้มค่ากับราคา, สัมผัสที่นุ่มนวล, เส้นหมี่คุณภาพดี, อร่อยและหอมหวาน,  ",,BeautyParadise,lazada,TRUE
https://www.lazada.co.th/products/eggyday-100g-i5219058197.html,5219058197,100247091240,2024-04-06,3148307,A***.,5,"รสชาติโอเค กินง่าย
แต่ถ้าเทียบกับเส้นหมี่ไข่ขาวถุงสีฟ้าอีกยี่ห้อ ส่วนตัวชอบอันนั้นมากกว่า ",,BeautyParadise,lazada,TRUE
